timer	TimeStampUTC	Longitude	Latitude	Altitude	horAccuracy	verAccuracy
203286	1266801044199	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
203798	1266801047281	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
204307	1266801047282	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
204818	1266801047916	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
205337	1266801048419	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
205855	1266801048420	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
206368	1266801048420	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
206887	1266801048420	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
207411	1266801050552	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
207917	1266801050552	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
208431	1266801050552	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
208941	1266801050552	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
209454	1266801052648	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
209962	1266801052649	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
210480	1266801052649	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
210991	1266801052649	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
211515	1266801054734	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
212032	1266801054736	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
212541	1266801054736	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
213048	1266801054736	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
213554	1266801056826	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
214059	1266801056828	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
214562	1266801056828	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
215071	1266801056828	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
215582	1266801058901	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
216086	1266801058902	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
216590	1266801058902	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
217096	1266801058902	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
217607	1266801060999	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
218116	1266801061000	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
218649	1266801061705	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
219160	1266801061705	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
219672	1266801063069	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
220183	1266801063071	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
220700	1266801064259	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
221219	1266801064259	-122.159926300	47.770933750	24.000000000	47.421633550	70.281001376
221733	1266801065152	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
222242	1266801065156	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
222775	1266801065156	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
223280	1266801065156	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
223799	1266801067191	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
224311	1266801067468	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
224818	1266801068105	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
225329	1266801068759	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
225857	1266801069287	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
226363	1266801069290	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
226882	1266801069290	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
227398	1266801069290	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
227899	1266801071378	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
228410	1266801071381	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
228924	1266801072104	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
229452	1266801072739	-122.160210183	47.771140367	26.000000000	47.421633550	70.281001376
229970	1266801073468	-122.160222183	47.771257150	25.000000000	47.421633550	23.164149319
230486	1266801073469	-122.160222183	47.771257150	25.000000000	47.421633550	23.164149319
231001	1266801074025	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
231520	1266801074640	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
232031	1266801075525	-122.160222183	47.771257150	25.000000000	47.421633550	23.164149319
232536	1266801075938	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
233054	1266801076587	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
233566	1266801076588	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
234073	1266801077588	-122.160222183	47.771257150	25.000000000	47.421633550	23.164149319
234590	1266801077873	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
235097	1266801078499	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
235624	1266801078500	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
236790	1266801079794	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
237461	1266801080419	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
238240	1266801081753	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
238883	1266801081800	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
239418	1266801082361	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
239933	1266801082985	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
240446	1266801083796	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
240969	1266801084258	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
241485	1266801084904	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
242004	1266801084909	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
242532	1266801085907	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
243041	1266801085908	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
243553	1266801085908	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
244068	1266801085908	-122.160222183	47.771257150	25.000000000	47.421633550	70.281001376
244588	1266801088010	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
245103	1266801088013	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
245610	1266801088013	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
246120	1266801088013	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
246637	1266801090133	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
247144	1266801090135	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
247653	1266801090135	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
248177	1266801090135	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
248699	1266801090135	-122.160222183	47.771257150	25.000000000	17.068495254	23.164149319
249288	1266801092230	-122.160215500	47.771349250	25.000000000	17.068495254	23.164149319
249800	1266801092230	-122.160215500	47.771349250	25.000000000	17.068495254	23.164149319
250310	1266801092230	-122.160215500	47.771349250	25.000000000	17.068495254	23.164149319
250820	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
251333	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
251849	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
252356	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
252871	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
253373	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
253897	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
254409	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
254916	1266801094340	-122.160214783	47.771353733	25.000000000	17.068495254	23.164149319
255427	1266801098548	-122.160213900	47.771365450	25.000000000	47.421633550	70.281001376
255931	1266801098549	-122.160213900	47.771365450	25.000000000	47.421633550	70.281001376
256440	1266801098549	-122.160213900	47.771365450	25.000000000	47.421633550	70.281001376
256947	1266801098549	-122.160213900	47.771365450	25.000000000	47.421633550	70.281001376
257464	1266801100673	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
257973	1266801100674	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
258477	1266801100674	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
258989	1266801100674	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
259506	1266801102769	-122.160214683	47.771374117	25.000000000	17.068495254	23.164149319
260024	1266801102769	-122.160214683	47.771374117	25.000000000	17.068495254	23.164149319
260541	1266801102769	-122.160214683	47.771374117	25.000000000	17.068495254	23.164149319
261046	1266801102769	-122.160214683	47.771374117	25.000000000	17.068495254	23.164149319
261567	1266801104825	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
262068	1266801104825	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
262577	1266801104825	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
263084	1266801104825	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
263615	1266801106926	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
264145	1266801106927	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
264651	1266801106927	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
265159	1266801106927	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
265660	1266801108993	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
266178	1266801109701	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
266683	1266801109702	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
267185	1266801109702	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
267710	1266801111077	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
268216	1266801111787	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
268734	1266801111787	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
269242	1266801111788	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
269753	1266801113143	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
